,clause,Act_phr,Act_vol,Act_aff,Und1_phr,Und1_vol,Und1_aff,Und2_phr,Und2_vol,Und2_aff,comment
46,439707,688525.0,y,y,688523.0,n,n,,,,Undergoer not specific
47,439710,,,,688530.0,n,y,,,,
48,439711,688531.0,y,y,688531.0,n,y,,,,
49,439713,688535.0,y,y,688537.0,n,n,,,,Undergoer not specific
50,439714,688539.0,y,n,688540.0,n,y,,,,
51,439715,688542.0,y,y,688543.0,n,n,,,,
52,439716,688545.0,n,y,,,,,,,Not volitional because it is a negative situation
53,439717,688548.0,y,y,,,,,,,
54,439718,688552.0,y,n,,,,,,,
55,439719,688556.0,y,n,688554.0,n,y,,,,
56,439720,688558.0,n,y,688559.0,n,n,,,,Undergoer1 is abstract so therefore not affected. The Actor is affected because he is in effect accountable for sin.
0,439721,688561.0,y,n,688563,n,n,,,,
1,439722,688564.0,y,n,,,,,,,
2,439723,688565.0,y,n,688566,n,n,,,,
3,439724,688568.0,y,n,688569,n,n,,,,
4,439726,688577.0,y,n,,,,,,,
5,439727,688574.0,y,y,688575,n,n,,,,
6,439728,688586.0,y,n,,,,,,,
7,439729,688581.0,y,n,688583,y,y,688584.0,n,n,
8,439730,688590.0,y,n,688588,n,n,,,,
9,439731,688592.0,y,n,688591,n,?,,,,Justice seems not to be affected - rather effected because justice does not become changed
10,439732,688595.0,y,n,688594,n,n,,,,
11,439733,688596.0,y,n,688597,n,n,,,,
12,439735,688601.0,y,n,688602,n,n,,,,
13,439736,688606.0,y,n,688605,n,n,,,,
14,439737,688608.0,y,y,688609,n,n,,,,
15,439740,688615.0,y,y,688613,n,n,,,,The actor is affected because he changes location
16,439741,688616.0,y,n,688617,n,y,,,,
17,439743,688622.0,y,n,688620,n,y,,,,
18,439745,688626.0,y,n,688627,n,y,,,,
19,439746,688630.0,y,n,688628,n,y,,,,
20,439749,688635.0,y,n,688636,n,y,,,,
21,439751,688639.0,y,n,688640,n,y,,,,
22,439755,688648.0,y,n,688649,n,y,,,,
23,439756,688652.0,y,n,688650,n,y,,,,
24,439758,688657.0,y,n,688655,n,y,,,,
25,439760,688663.0,y,n,688661,n,y,,,,
26,439761,688666.0,y,y,,,,688664.0,n,n,Undergoer2 must be Undergoer1 for constency
27,439763,688671.0,y,n,688669,n,y,,,,
28,439765,688675.0,y,n,688676,n,y,,,,
29,439766,688679.0,y,n,688677,n,y,,,,
30,439768,688684.0,y,n,688682,n,y,,,,
31,439769,688687.0,y,y,688685,n,y,,,,To take is probably a transfer where the subject instigates the activity but is also affected because he becomes into possesion. The Undergoer is naturally affected by being transfered.
32,439770,688688.0,y,n,688689,n,y,,,,
33,439773,688698.0,n,y,688695,n,y,,,,Undergoer2 needs annotation
34,439774,688699.0,y,y,,,,,,,
35,439775,688700.0,y,n,688701,n,y,688702.0,n,?,Undergoer2 is probably unwilling but is she affected?
36,439776,688707.0,y,n,688705,n,n,,,,
37,439777,688708.0,y,n,688709,n,y,,,,
38,439778,688713.0,y,n,688711,n,y,688714.0,n,y,Is special kind of transfer.
39,439779,688715.0,n,y,688716,y,n,,,,Undergoer1 is probably an instrument and therefore not volitional.
40,439780,688720.0,y,n,688718,n,y,,,,
41,439781,688721.0,y,n,688722,y,y,,,,
42,439782,688725.0,y,n,688726,n,y,,,,
43,439784,688732.0,y,y,688730,y,y,,,,
44,439786,688739.0,y,n,688737,n,y,688740.0,n,y,An odd kind of transfer.
45,439787,688741.0,n,y,688742,n,y,,,,
46,439788,688744.0,y,y,688747,n,n,,,,
47,439789,688748.0,y,y,688748,n,y,,,,Both participants seem to be affected
48,439791,688752.0,y,y,688753,n,n,,,,Undergoer1 is abstract
49,439792,,,,688757,n,y,,,,The complement phrase needs annotation.
50,439793,688759.0,y,n,688758,n,y,688761.0,n,n,
51,439794,688764.0,n,y,,,,,,,
52,439795,688766.0,y,n,688767,n,y,688768.0,n,y,
53,439796,688771.0,n,n,688772,n,y,,,,
54,439797,688775.0,y,n,688776,n,n,,,,
55,439798,688779.0,y,n,688780,n,n,,,,
56,439799,688782.0,y,y,688784,n,n,,,,
57,439800,688788.0,y,n,688786,n,n,,,,
58,439802,688793.0,n,y,,,,,,,
59,439803,688797.0,n,n,688798,n,y,,,,
60,439804,688799.0,y,n,688800,n,y,,,,
61,439805,688802.0,n,n,688803,n,y,,,,
62,439808,688808.0,y,n,688810,n,n,,,,
63,439809,,,,688813,n,y,688816,n,n,
64,439810,688814.0,y,n,,,,,,,
65,439811,688818.0,y,n,688819,n,n,,,,
66,439812,688820.0,y,n,688821,n,n,,,,
67,439813,,,,688822,n,n,,,,Complement might need annotation.
68,439814,688827.0,y,y,688828,n,n,,,,
69,439816,688833.0,y,n,688834,y,n,,,,
70,439817,688835.0,y,n,,,,,,,
71,439818,688836.0,y,n,688837,n,n,,,,
72,439819,688839.0,y,n,688840,n,n,,,,
73,439820,688842.0,y,y,,,,,,,
74,439823,688848.0,y,y,,,,688847.0,y,n,Undergoer should be moved to Undergoer1. Not volitional because the Undergoer is not involved.
75,439824,688851.0,y,n,688850,n,n,,,,
76,439826,688855.0,y,y,688856,n,n,,,,
77,439827,688860.0,y,n,688858,n,n,688861.0,n,n,The object is not affected because it is only effected.
78,439829,688866.0,y,n,688867,n,y,688868.0,n,n,YHWH is not involved in the sacrifice and is therefore not affected.
79,439830,688870.0,y,n,688870,n,y,,,,
80,439831,,,,688872,n,y,,,,
81,439833,,,,688880,n,y,,,,The complement is probably Instrument
82,439834,,,,688876,n,?,,,,
83,439835,,,,688884,n,y,,,,
84,439837,,,,688889,n,y,,,,
85,439838,688893.0,y,?,688892,n,n,,,,The Undergoer is probably not affected but the Actor is.
86,439839,688891.0,y,y,688891,n,y,,,,
87,439840,688896.0,y,n,688895,n,y,,,,
88,439841,,,,688899,n,y,,,,
89,439842,688905.0,y,n,688906,n,y,,,,
90,439843,688902.0,y,n,688903,n,y,,,,
91,439844,688907.0,y,n,,,,,,,
92,439845,688911.0,y,n,688909,n,y,,,,Is the subject also the receiver of the gathering - therefore affected?
93,439846,688915.0,y,?,688913,n,y,,,,
94,439847,688919.0,y,?,688917,n,y,,,,
95,439848,688921.0,y,n,688922,n,y,688920.0,n,n,Is the Undergoer2 involved in the event?
96,439850,688926.0,y,?,,,,,,,The Actor may be affected if he gains from it. He benefits from it.
97,439851,688929.0,y,n,,,,,,,
98,439852,688932.0,y,n,,,,,,,
99,439854,,,,688937,y,n,,,,In my name is probably Instrument and needs annotation.
100,439855,688941.0,y,n,688942,n,y,,,,
101,439857,688946.0,y,n,688947,n,y,,,,The event is negative so the Undergoer is not Volitional
102,439858,688950.0,y,y,,,,,,,Probably affected because the Actor gains from the event.
103,439859,688953.0,n,n,688954,n,n,,,,The Actor is probably not affected because there is no change of state implied by the event - it is rather remaining.
104,439860,688957.0,y,n,688958,n,y,,,,The Undergoer is not directly affected because he cannot hear the curse. But his reputation is nevertheless damaged and he is indirectly affected.
105,439861,688962.0,y,n,688963,n,y,688960.0,n,y,The blind person is indirectly affected because his path is blocked.
106,439862,688965.0,y,y,,,,688966.0,n,n,
107,439864,688970.0,y,n,688971,n,n,,,,n
108,439865,688974.0,y,n,688975,y,y,,,,
109,439866,688978.0,y,n,688979,y,y,,,,Probably the verb desribes and outward activity rather than a feeling. Therefore Actor is not affected.
110,439867,688981.0,y,n,688982,?,y,,,,Undergoer is probably +VOL because the event is inherently positive. But is he involved?
111,439868,688984.0,y,n,688986,n,n,,,,
112,439869,688988.0,y,y,688989,n,n,,,,If the clause is interpreted literaly the Undergoer is not affected because it is only stood upon and is not changed.
113,439871,688993.0,y,y,688994,n,n,,,,
114,439872,688997.0,y,?,688998,n,y,,,,Is Actor affected or is he merely doing something towards his fellow? The Undergoer is probably not volitional because the event seems confrontational and therefore not positive.
115,439873,689001.0,y,n,689003,n,y,689002.0,n,y,Undergoer2 is probably affected.
116,439874,689005.0,y,n,,,,,,,Probably unaffected if it is an activity toward an unspecified object.
117,439875,689008.0,y,y,689009,n,?,,,,
118,439876,689011.0,y,y,689012,n,n,,,,
119,439878,689017.0,y,n,689016,n,n,,,,
120,439879,689020.0,y,n,689018,n,y,,,,
121,439880,689024.0,y,n,689022,n,y,,,,
122,439881,689027.0,y,y,689030,n,?,,,,The sentence is odd because the clothes are presented as Actor while the person who is wearing the clothes is the Undergoer.
123,439883,689034.0,y,n,689036,n,y,689035.0,y,y,It is difficult to know whether the woman is volitional.
124,439885,,,,689040,n,y,,,,The woman is probably not volitional.
125,439886,,,,689045,n,y,,,,
126,439887,,,,689047,n,n,6890500,y,y,
127,439888,689052.0,n,n,,,,,,,
128,439889,,,,689054,n,y,,,,
129,439890,,,,689057,n,y,,,,
130,439891,689059.0,y,n,689060,n,y,689061.0,n,n,
131,439892,689065.0,y,n,689064,y,y,689066.0,n,y,Undergoer1 is probably affected although only indirectly because his status has changed.
132,439893,689069.0,y,n,,,,,,,
133,439894,,,,689073,y,y,689074,n,n,
134,439895,689075.0,y,n,,,,,,,
135,439896,689079.0,y,y,689080,n,n,,,,
136,439897,689082.0,y,n,689083,n,y,,,,
137,439898,689085.0,y,n,689086,n,n,689087.0,n,n,
138,439899,689089.0,n,y,689090,n,n,,,,Undergoer1 is probably not involved
139,439900,,,,689093,n,y,,,,
140,439901,689097.0,n,y,,,,,,,
141,439903,689103.0,y,y,689104,n,y,,,,
142,439904,689105.0,y,n,689107,n,y,689106.0,y,y,Undergoer2 is probably not Volitional because it is not involved in the activity but only benefitting.
143,439906,689111.0,y,y,689112,n,y,,,,The oblique object may indicate less affectedness.
144,439907,689114.0,y,n,,,,,,,
145,439908,689117.0,y,n,,,,,,,
146,439909,689119.0,y,n,689120,n,y,,,,
147,439910,689123.0,y,n,689124,n,y,,,,
148,439911,689128.0,y,n,689126,n,y,689129.0,n,y,Undergoer2 is affected becasue the body is changed.
149,439912,689133.0,y,n,689131,n,y,689134.0,n,y,
150,439914,689138.0,y,n,689139,n,y,,,,
151,439915,689140.0,y,n,689140,n,y,,,,
152,439916,689144.0,?,?,,,,,,,Is the nonanimate Actor actually volitional?
153,439917,689147.0,n,y,689148,n,n,,,,The Undergoer is probably not affected because it is abstract.
154,439918,689150.0,y,n,689149,n,n,,,,
155,439919,689153.0,y,y,689152,n,n,,,,
156,439921,689157.0,y,y,689158,n,n,,,,
157,439922,689162.0,y,y,689160,n,n,,,,
158,439923,689163.0,y,y,689164,n,y,,,,Undergoer1 is probably instrument - or perhaps the source?
159,439925,689168.0,y,y,689167,?,?,,,,Is the Undergoer involved and/or affected by the event?
160,439926,689170.0,y,n,689171,y,y,,,,Undergoer is probably indirectly affected.
161,439927,689173.0,y,y,689174,n,n,,,,
162,439929,689181.0,y,n,689180,n,n,,,,Actor is probably not affected because there is no change of affairs unless it should be understood as coming to live with...
163,439930,689184.0,y,n,689185,n,y,,,,
164,439931,689189.0,y,y,689188,?,?,,,,Probably the sentence could be translated - and annotated - you shall consider/treat the foreigner as a native thereby making the complement phrase the Actor.
165,439932,689190.0,y,n,689192,n,n,,,,
166,439933,689194.0,y,y,689195,n,n,,,,
167,439934,689199.0,y,y,689200,n,n,,,,
168,439936,689204.0,y,n,689205,n,n,689206.0,n,?,
169,439937,689207.0,n,n,,,,,,,
170,439939,689212.0,y,n,689214,y,y,689215.0,n,n,
171,439940,689217.0,y,n,689218,n,n,,,,
172,439941,689220.0,y,n,689221,n,n,,,,
173,439943,689225.0,y,n,689227,n,n,,,,
174,439944,689228.0,y,n,,,,,,,
175,439945,689231.0,y,n,689230,n,n,,,,
176,439946,,,,689232,n,y,,,,
177,439947,689233.0,y,y,,,,689235.0,n,n,
178,439948,689236.0,y,n,689238,n,y,689239.0,y,y,
179,439949,689242.0,y,n,689243,n,y,689244.0,n,y,Undergoer2 is Instrumental
180,439950,689246.0,y,n,689248,n,y,689249.0,n,y,Undergoer2 is affected but is not benefitting from the event.
181,439951,689251.0,y,n,689252,n,y,689253.0,n,n,
182,439952,689256.0,y,n,689255,n,y,689257.0,y,y,
183,439953,689258.0,y,n,689259,n,y,,,,Whether Actor is Volitional is dubious.
184,439954,689261.0,?,n,689262,n,y,,,,
185,439955,689267.0,y,n,689268,n,y,689269.0,n,n,
186,439956,689270.0,y,n,689271,n,y,689272.0,y,y,
187,439957,689273.0,y,n,689274,n,y,,,,
188,439958,689277.0,y,n,689278,n,y,689279.0,n,?,
189,439959,689281.0,y,n,689282,n,y,689288.0,n,n,
190,439960,689283.0,y,n,689285,?,y,,,,
191,439961,689286.0,y,n,689287,?,y,,,,
192,439963,689291.0,y,y,689293,n,n,,,,
193,439964,689294.0,y,n,689295,?,y,,,,
194,439965,689297.0,y,n,689298,n,y,689299.0,n,?,
195,439966,689301.0,y,n,689302,n,y,689303.0,n,n,
196,439967,689305.0,y,y,,,,,,,
197,439968,689307.0,y,y,,,,,,,
198,439970,689313.0,y,n,689314,n,n,,,,
199,439971,689316.0,y,n,689317,n,n,,,,
200,439973,689320.0,y,n,689320,y,y,,,,
201,439974,,,,689322,n,y,,,,
202,439975,689323.0,y,n,689325,n,?,,,,Undergoer1 is probably indirectly affected because their social status is changed.
203,439976,689329.0,y,n,689328,n,?,,,,
204,439979,689334.0,y,y,689336,?,y,,,,The Actor is probably affected as well as the woman. It is difficult to know whether the woman is volitional or not.
205,439980,689337.0,y,?,689339,?,y,,,,
206,439981,,,,689342,n,y,,,,
207,439982,689344.0,y,n,689348,n,y,,,,
208,439983,689345.0,y,?,689347,?,y,,,,
209,439984,,,,689352,n,y,,,,
210,439987,689357.0,y,?,689359,?,y,,,,
211,439988,,,,689362,n,y,,,,
212,439989,689364.0,y,n,689363,n,n,,,,
213,439992,689369.0,y,?,689371,y,y,689372.0,n,?,n
214,439993,689375.0,y,n,689373,n,n,,,,
215,439994,,,,689377,n,y,,,,
216,439997,689382.0,y,y,689384,?,y,,,,The Actor is affected because he is also gaining from the activity.
217,439999,689388.0,y,n,689389,n,y,689387.0,n,y,With fire is Instrument
218,440000,689393.0,n,y,,,,,,,
219,440001,,,,689396,n,y,,,,
220,440002,689397.0,y,n,689399,n,y,689400.0,n,y,n
221,440003,689405.0,y,n,689404,n,y,,,,
222,440005,689408.0,y,y,689410,n,n,,,,
223,440006,689411.0,y,y,689412,n,y,,,,
224,440007,689414.0,y,n,689415,n,y,,,,
225,440008,,,,689417,n,y,,,,
226,440011,689422.0,y,y,689424,n,y,,,,Actor is recipient
227,440012,689426.0,y,y,689427,n,n,,,,The nakedness is not affected because it does not change status.
228,440013,689429.0,y,y,689431,n,n,,,,
229,440015,,,,689435,n,y,,,,
230,440016,689438.0,y,n,689437,n,y,,,,
231,440017,689440.0,y,?,689439,n,y,,,,The role of the Actor is difficult
232,440019,689443.0,y,y,689445,?,y,,,,
233,440020,689447.0,y,n,689448,n,y,,,,
234,440021,689450.0,y,n,689449,n,y,,,,
235,440022,689452.0,y,n,689454,n,y,,,,
236,440023,,,,689457,n,y,,,,
237,440024,689462.0,y,n,689460,n,y,,,,
238,440025,689465.0,y,n,689464,n,y,,,,
239,440026,689467.0,y,?,689466,n,y,,,,
240,440028,689470.0,y,?,689472,?,y,,,,
241,440029,689474.0,y,n,689473,n,y,,,,
242,440030,689476.0,y,?,689475,n,y,,,,
243,440031,689478.0,n,y,,,,,,,n
244,440033,689481.0,y,y,689483,?,y,,,,
245,440035,689487.0,y,n,689486,n,y,,,,
246,440036,689489.0,n,y,,,,,,,
247,440037,689491.0,y,n,689492,n,n,,,,
248,440038,689494.0,y,n,689495,n,n,,,,
249,440039,689500.0,?,n,689499,n,y,,,,n
250,440040,689502.0,y,n,689504,y,y,689505.0,n,n,
251,440041,689506.0,y,y,689507,n,n,,,,
252,440042,689510.0,y,n,689511,n,n,,,,The Actor is probably not affected
253,440043,689513.0,y,n,689512,n,y,689515.0,n,n,
254,440044,689518.0,y,n,689517,n,n,,,,
255,440045,689520.0,y,y,689521,n,n,,,,
256,440046,689523.0,y,n,689524,n,n,,,,
257,440047,689525.0,y,n,689527,n,y,,,,
258,440048,689529.0,y,n,689530,n,y,689531.0,y,y,Is Undergoer2 volitional?
259,440049,689532.0,y,?,689533,n,y,,,,Is the event about possession or about doing something to the land?
260,440051,689536.0,y,n,689538,y,y,689539.0,n,n,
261,440052,689541.0,y,n,689542,n,y,689543.0,n,?,
262,440054,689549.0,y,n,689550,n,y,689551.0,n,y,Undergoer2 is probably Instrumental
263,440055,689552.0,n,?,689554,n,n,,,,Actor is probably not changing state - so not affected.
264,440056,689556.0,y,n,689555,n,y,689557.0,n,n,
265,440057,689558.0,y,y,,,,,,,
266,440058,689560.0,y,y,689561,n,n,,,,Undergoer2 is not involved in the event
267,440060,689567.0,y,n,689568,y,y,689569.0,n,n,
268,440061,689570.0,y,y,,,,,,,
269,440063,689577.0,y,?,,,,,,,
270,440064,,,,689579,n,y,,,,
271,440065,689581.0,y,n,689582,n,y,689580.0,n,y,Undergoer2 is probably Instrumental
0,440067,689587,y,n,689588,n,n,,,,
1,440068,689589,y,n,689590,n,n,,,,
2,440069,689592,y,n,689593,n,n,,,,
3,440070,689596,y,y,689594,n,y,,,,Undergoer1 is probably Instrument and therefore affected in that it is touched
4,440075,689608,?,y,,,,,,,PreC probably needs annotation
5,440076,689613,y,y,689612,n,y,,,,Undergoer1 probably Instrument
6,440077,689615,y,y,,,,,,,
7,440078,,,,689618,n,y,,,,
8,440079,689620,y,n,689621,n,y,689622.0,n,n,
9,440080,689626,y,n,689624,n,y,,,,
10,440081,689630,y,n,689631,n,y,689628.0,n,?,The body is probably affected
11,440082,689633,y,y,689634,n,n,,,,
12,440083,689637,y,n,689638,n,y,,,,
13,440084,689641,y,n,689640,n,y,,,,
14,440085,689644,y,y,,,,,,,
15,440086,689648,y,y,689646,?,y,,,,
16,440087,689654,y,y,689650,?,y,,,,
17,440088,689651,n,y,689652,n,n,,,,Is the husband the cause or is the complement just deprivative
18,440090,689660,y,y,689660,n,n,,,,The Undergoer1 is probably unaffected because he is not involved in the event. It is merely a cognitive event.
19,440091,689663,y,n,689662,n,y,,,,
20,440092,689666,?,?,689667,?,?,,,,The clause is difficult. Is still just a cognitive event like the previous clause?
21,440094,689671,y,n,689671,y,y,,,,
22,440096,689675,y,?,,,,,,,Is their an unspecified Undergoer?
23,440097,689676,y,n,,,,,,,
24,440098,689678,y,n,689677,n,y,,,,
25,440099,,,,689681,n,y,,,,The Complement is Instrument
26,440102,,,,689690,n,y,,,,The Complement phrase is propably affected.
27,440103,689692,y,n,689693,n,y,,,,
28,440104,689694,y,y,689695,n,y,,,,Actor is affected because he is wearing clothes
29,440105,689698,y,n,689696,n,y,,,,
30,440106,689702,y,n,689700,n,y,,,,
31,440107,689706,y,y,689704,n,n,,,,
32,440108,689709,y,y,689707,n,?,,,,The Undergoer is perhaps an Instrument
33,440109,689713,y,y,689711,n,n,,,,
34,440110,689716,y,n,689717,n,y,,,,
35,440113,689724,y,y,689725,?,y,,,,
36,440115,689730,y,y,689728,?,y,,,,
37,440116,689733,y,y,689732,?,y,689734.0,n,y,
38,440117,689737,y,n,689738,n,y,689739.0,n,n,
39,440119,689743,y,n,689743,y,y,,,,
40,440120,689746,y,n,689747,n,n,,,,
41,440121,689748,y,n,,,,,,,
42,440122,689749,y,n,689750,n,n,,,,
43,440123,689751,y,n,,,,,,,
44,440124,689752,y,y,,,,,,,
45,440125,689756,n,y,,,,,,,Needs revision.
46,440126,689759,y,n,689760,n,y,,,,
47,440127,689762,y,y,,,,,,,
48,440130,689773,n,y,,,,,,,Needs revision. Who is affected?
49,440132,689776,y,y,,,,,,,
50,440134,689782,y,n,689783,n,y,,,,
51,440136,689788,y,y,689786,n,n,,,,
52,440137,689789,y,n,,,,,,,
53,440138,689791,y,y,689790,n,y,,,,
54,440139,689794,y,y,689792,n,n,,,,
55,440140,689798,y,y,689796,n,n,,,,
56,440142,689804,y,n,689805,n,y,,,,
57,440144,689809,y,n,689809,n,y,,,,
58,440145,689812,y,n,689813,n,n,,,,
59,440146,689816,y,n,689817,n,n,,,,
60,440147,689818,y,n,,,,,,,
61,440148,689819,y,n,689820,n,n,,,,
62,440149,689822,y,y,689823,n,n,,,,
63,440150,689826,y,n,689827,n,y,,,,
64,440151,689829,y,n,689828,n,y,689831.0,y,y,Undergoer2 is probably recipient
65,440153,689834,y,n,689835,n,n,,,,
66,440156,689838,y,y,689841,n,n,,,,
67,440157,689844,y,n,689842,n,y,689845.0,y,y,n
68,440159,,,,689851,n,y,,,,
69,440161,689855,y,y,689861,n,y,,,,
70,440162,689857,n,y,,,,,,,
71,440163,689860,n,y,,,,,,,
72,440164,689865,y,y,,,,,,,
73,440166,689867,y,y,689869,n,n,,,,
74,440168,689875,n,n,689874,n,y,,,,Undergoer is probably affected because he becomes unclean.
75,440170,689878,y,y,689880,n,n,,,,
76,440171,689881,?,n,689883,n,y,,,,
77,440172,689884,?,n,,n,y,,,,
78,440174,689889,y,y,689891,n,n,,,,The Undergoer is not affected because it does not change statues
79,440175,689893,n,y,,,,,,,
80,440176,689897,y,y,689898,n,y,,,,
81,440177,689900,y,n,689901,n,y,689902.0,n,y,Undergoer2 is Instrument
82,440178,689905,n,?,,,,,,,Ontologically speaking the sun is not affected. However within the horizon of the text the sun seems to be affected.
83,440179,689907,y,y,,,,,,,
84,440180,689910,y,y,689911,n,y,,,,
85,440182,689917,y,y,689915,n,y,,,,
86,440183,689918,n,y,689919,n,?,,,,
87,440185,689923,y,n,689924,n,n,,,,
88,440186,689927,y,n,689928,n,y,689929.0,n,y,Undergoer2 is probably not affected because it is abstract
89,440187,689931,n,y,689932,n,?,,,,
90,440188,689934,y,n,689934,n,y,,,,
91,440190,689937,y,n,689937,y,y,,,,
92,440191,689939,y,y,689942,n,y,,,,
93,440192,689943,y,y,689946,n,y,,,,
94,440194,689950,y,y,689951,n,y,,,,The Actor is also the recipient of the transfer
95,440195,689953,y,y,689955,n,y,,,,
96,440197,689958,y,y,689960,n,y,,,,
97,440199,689964,?,y,,,,,,,
98,440200,689966,y,y,689967,n,y,,,,
99,440201,689971,y,y,689983,n,y,,,,
100,440202,689973,n,y,,,,,,,
101,440204,689980,y,y,689981,n,n,,,,
102,440205,689986,y,y,689989,n,y,,,,
103,440207,689993,y,y,689994,n,y,,,,
104,440208,689997,y,n,689998,n,y,689999.0,n,y,Undergoer2 is affected because something is added to it.
105,440209,690001,y,n,690002,y,y,690003.0,n,y,
106,440210,690006,y,n,690007,n,y,,,,
107,440211,690009,y,n,690008,n,y,690010.0,y,y,
108,440212,690012,y,n,690013,y,?,690014.0,n,y,
109,440213,690015,y,y,690016,n,y,,,,
110,440215,690020,y,n,690020,?,y,,,,What does the suffix refer to?
111,440216,690023,y,n,690024,n,n,,,,
112,440217,690025,y,n,,,,,,,
113,440218,690026,y,n,690027,n,n,,,,
114,440219,690029,y,n,,,,690030.0,n,n,
115,440221,690032,y,n,690034,n,y,,,,
116,440222,690037,y,n,690036,n,y,690038.0,y,y,
117,440224,690047,y,n,690042,n,y,,,,
118,440226,690051,n,?,690052,?,y,,,,
119,440228,690056,y,n,690057,n,y,690058.0,y,y,
120,440229,690059,y,n,690060,n,y,,,,
121,440231,690064,n,y,,,,,,,
122,440232,690066,n,n,,,,,,,Probably PreC nees to be annotated as Undergoer. The subject is not affected because any blemish is not referring to physical object.
123,440234,690072,y,n,690073,n,y,690074.0,y,y,
124,440235,690078,y,n,690076,n,y,690080.0,y,y,
125,440237,690084,y,n,690085,n,y,,,,
126,440238,,,,690089,n,y,,,,
127,440239,690093,y,n,690091,n,y,690094.0,y,y,
128,440240,690098,y,n,,,,,,,
129,440241,690102,y,n,690103,n,y,,,,
130,440244,,,,690111,n,y,,,,The complement probably needs annotation.
131,440245,690115,y,n,690116,n,n,,,,
132,440246,690117,y,n,,,,,,,
133,440248,,,,690120,n,y,,,,
134,440249,690122,n,y,,,,,,,
135,440250,,,,690127,n,y,,,,
136,440252,690134,y,n,690132,n,y,,,,
137,440253,690138,y,n,690139,n,y,690140.0,y,y,
138,440254,690142,y,n,,,,,,,
139,440255,,,,690144,n,y,,,,
140,440256,690146,y,n,690147,n,y,,,,
141,440258,690152,y,n,690153,n,n,,,,
142,440259,690155,y,n,690156,n,y,,,,
143,440261,690161,y,n,690162,n,y,,,,
144,440262,,,,690164,y,y,,,,Perhaps the complement expresses who needs to sanctify YHWH
145,440264,690168,y,n,690168,y,y,,,,
146,440265,690169,y,n,690171,y,y,690172.0,n,n,
147,440266,690173,y,y,,,,,,,How to annotate a genitival relationship like this?
148,440268,690180,y,n,690181,n,n,,,,
149,440269,690182,y,n,,,,,,,
150,440270,690183,y,n,690184,n,n,,,,
151,440271,690186,y,n,690187,n,n,,,,
